Station,FY99,FY00,FY01,FY02,FY03,FY04,FY05,FY06,FY07,FY08,FY09,FY10,FY11,FY12,FY13,FY14,FY15,FY16,pct_change,alt_names
Richmond,2905.0,3441.0,3977.0,4106.0,3636.0,3264.0,3289.0,3251.0,3257.0,3468.0,3468.0,3284.0,3426.0,3658.0,3898.0,4039.0,4417,4434,53.0,Richmond (RICH)
El Cerrito Del Norte,7537.0,8362.0,8962.0,7746.0,6863.0,7279.0,7398.0,7707.0,7831.0,8213.0,7971.0,7352.0,7511.0,7965.0,8494.0,8687.0,9028,9229,22.0,El Cerrito del Norte (DELN)
El Cerrito Plaza,3886.0,4095.0,3932.0,3733.0,3677.0,3696.0,3704.0,3852.0,4087.0,4268.0,4290.0,4120.0,4242.0,4464.0,4690.0,4728.0,4942,5131,32.0,El Cerrito Plaza (PLZA)
North Berkeley,3269.0,3536.0,3876.0,3516.0,3254.0,3436.0,3512.0,3674.0,3819.0,3963.0,4019.0,3817.0,3967.0,4223.0,4511.0,4673.0,4915,4865,49.0,North Berkeley (NBRK)
Berkeley,9729.0,10197.0,10769.0,10875.0,10555.0,10529.0,10393.0,10703.0,11175.0,11814.0,12019.0,11317.0,11749.0,12369.0,13131.0,13327.0,13744,13748,41.0,Downtown Berkeley (DBRK)
Ashby,3648.0,4085.0,4325.0,4002.0,3719.0,3797.0,3933.0,4141.0,4286.0,4522.0,4355.0,3943.0,4129.0,4603.0,4999.0,5243.0,5596,5699,56.0,Ashby (ASHB)
MacArthur,5425.0,6035.0,6527.0,5905.0,5688.0,6044.0,6230.0,6622.0,6968.0,7559.0,7781.0,7596.0,8015.0,8576.0,9125.0,8826.0,9265,9530,76.0,MacArthur (MCAR)
19th Street Oakland,7019.0,7594.0,8352.0,8092.0,7663.0,7623.0,7899.0,8416.0,8454.0,8891.0,9305.0,9161.0,9675.0,10636.0,11401.0,11567.0,12470,13112,87.0,19th St. Oakland (19TH)
12th Street / Oakland City Center,10535.0,11966.0,12523.0,12075.0,12016.0,11899.0,11783.0,12038.0,12290.0,12705.0,12617.0,11856.0,12181.0,12578.0,12979.0,13097.0,13921,14403,37.0,12th St. Oakland City Center (12TH)
Lake Merritt,3919.0,4239.0,4656.0,4573.0,4644.0,4803.0,4756.0,5012.0,5306.0,5704.0,5848.0,5490.0,5618.0,6016.0,6441.0,6720.0,7369,7393,89.0,Lake Merritt (LAKE)
Fruitvale,6712.0,7116.0,8228.0,7195.0,6293.0,6232.0,6687.0,7048.0,7250.0,7479.0,7317.0,6893.0,7180.0,7700.0,8127.0,8286.0,8639,8670,29.0,Fruitvale (FTVL)
Coliseum / Oakland Airport,5392.0,6155.0,6862.0,6671.0,6588.0,7308.0,6921.0,7339.0,7813.0,7492.0,6919.0,6191.0,6564.0,6594.0,7809.0,7819.0,7749,7132,32.0,Coliseum/Oakland Airport (COLS)
San Leandro,4442.0,4925.0,5138.0,4828.0,4687.0,4803.0,4836.0,4908.0,5118.0,5282.0,5211.0,4933.0,5124.0,5367.0,5696.0,5789.0,6077,6133,38.0,San Leandro (SANL)
Bayfair,4284.0,4873.0,5185.0,4829.0,4632.0,4769.0,4757.0,4995.0,5185.0,5465.0,5453.0,5039.0,5154.0,5389.0,5739.0,5797.0,5972,6004,40.0,Bay Fair (BAYF)
Hayward,4295.0,4593.0,4982.0,4606.0,4353.0,4261.0,4320.0,4452.0,4553.0,4670.0,4641.0,4275.0,4451.0,4838.0,5131.0,5173.0,5322,5269,23.0,Hayward (HAYW)
South Hayward,2626.0,2873.0,3100.0,2869.0,2762.0,2729.0,2757.0,2860.0,2894.0,3076.0,2974.0,2727.0,2966.0,3073.0,3255.0,3104.0,3183,3101,18.0,South Hayward (SHAY)
Union City,3647.0,3943.0,4187.0,3885.0,3740.0,3719.0,3725.0,3898.0,4011.0,3981.0,3841.0,3787.0,3853.0,4100.0,4474.0,4625.0,4954,5108,40.0,Union City (UCTY)
Fremont,5423.0,5929.0,6300.0,5834.0,5694.0,5868.0,6099.0,6495.0,6818.0,7164.0,7175.0,6932.0,7332.0,7702.0,8167.0,8328.0,8905,9284,71.0,Fremont (FRMT)
Concord,5533.0,5804.0,6010.0,5624.0,5279.0,5154.0,5118.0,5250.0,5384.0,5545.0,5359.0,4978.0,5196.0,5485.0,5829.0,5970.0,6305,6372,15.0,Concord (CONC)
Pleasant Hill,6069.0,6613.0,6742.0,6178.0,6036.0,6160.0,5962.0,6044.0,6030.0,6246.0,6081.0,5782.0,5924.0,6185.0,6579.0,6620.0,6940,7433,22.0,Pleasant Hill/Contra Costa Centre (PHIL)
Walnut Creek,5567.0,5803.0,6310.0,5746.0,5551.0,5520.0,5616.0,5771.0,5887.0,6124.0,6114.0,5920.0,6104.0,6337.0,6612.0,6602.0,6828,7138,28.0,Walnut Creek (WCRK)
Lafayette,2862.0,3061.0,3207.0,3012.0,2957.0,3018.0,3034.0,3132.0,3226.0,3392.0,3413.0,3316.0,3417.0,3535.0,3715.0,3745.0,3912,3842,34.0,Lafayette (LAFY)
Orinda,2688.0,2769.0,2804.0,2635.0,2558.0,2563.0,2612.0,2651.0,2716.0,2831.0,2841.0,2763.0,2766.0,2826.0,2917.0,2913.0,3038,3135,17.0,Orinda (ORIN)
Rockridge,4436.0,4724.0,4916.0,4470.0,4488.0,4552.0,4587.0,4820.0,4921.0,5168.0,5324.0,5120.0,5267.0,5603.0,5933.0,6007.0,6184,6184,39.0,Rockridge (ROCK)
West Oakland,3904.0,4393.0,4980.0,4606.0,4190.0,4227.0,4309.0,4516.0,4695.0,5053.0,5094.0,4895.0,5050.0,5395.0,5937.0,6350.0,6878,7127,83.0,West Oakland (WOAK)
Embarcadero,26059.0,31983.0,34594.0,31174.0,29254.0,29438.0,30012.0,31584.0,33453.0,36094.0,35486.0,34310.0,35603.0,37700.0,41059.0,42546.0,45460,47643,83.0,Embarcadero (EMBR)
Montgomery Street,33755.0,36039.0,36409.0,31760.0,29417.0,29706.0,30233.0,31276.0,33052.0,34472.0,34098.0,32163.0,33711.0,36517.0,39167.0,40864.0,44333,46569,38.0,Montgomery St. (MONT)
